data_name,mask_id,mask,pos_mask_ids
HG_BraTS20_Training_013,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_016,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_031,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_042,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_050,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_062,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_065,0,"[False, False, False, True]",[0]
HG_BraTS20_Training_068,4,"[False, True, False, True]","[0, 1, 4]"
HG_BraTS20_Training_072,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_074,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_083,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_099,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_126,11,"[True, False, True, True]","[0, 2, 3, 6, 7, 8, 11]"
HG_BraTS20_Training_135,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_136,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_137,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_138,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_145,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_146,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_156,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_166,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_170,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_175,10,"[True, True, True, False]","[1, 2, 3, 5, 6, 9, 10]"
HG_BraTS20_Training_184,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_186,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_187,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_193,8,"[True, False, False, True]","[0, 3, 8]"
HG_BraTS20_Training_199,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_206,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_207,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_216,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_217,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_220,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_222,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_230,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_237,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_249,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_251,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_254,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_255,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_258,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_339,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_346,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_350,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_353,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_354,13,"[False, True, True, True]","[0, 1, 2, 4, 5, 7, 13]"
HG_BraTS20_Training_362,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_363,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_365,3,"[True, False, False, False]",[3]
LG_BraTS20_Training_260,3,"[True, False, False, False]",[3]
LG_BraTS20_Training_268,3,"[True, False, False, False]",[3]
LG_BraTS20_Training_270,6,"[True, False, True, False]","[2, 3, 6]"
LG_BraTS20_Training_271,1,"[False, True, False, False]",[1]
LG_BraTS20_Training_273,3,"[True, False, False, False]",[3]
LG_BraTS20_Training_282,3,"[True, False, False, False]",[3]
LG_BraTS20_Training_288,5,"[False, True, True, False]","[1, 2, 5]"
LG_BraTS20_Training_290,9,"[True, True, False, False]","[1, 3, 9]"
LG_BraTS20_Training_295,3,"[True, False, False, False]",[3]
LG_BraTS20_Training_315,3,"[True, False, False, False]",[3]
LG_BraTS20_Training_318,3,"[True, False, False, False]",[3]
LG_BraTS20_Training_319,3,"[True, False, False, False]",[3]
LG_BraTS20_Training_320,2,"[False, False, True, False]",[2]
LG_BraTS20_Training_323,12,"[True, True, False, True]","[0, 1, 3, 4, 8, 9, 12]"
LG_BraTS20_Training_328,3,"[True, False, False, False]",[3]
LG_BraTS20_Training_331,3,"[True, False, False, False]",[3]
